Gene	TCGA-A7-A0CE	TCGA-A7-A0CH	TCGA-A7-A0D9	TCGA-A7-A0DB	TCGA-A7-A13E	TCGA-A7-A13F	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-AC-A2FF	TCGA-AC-A2FM	TCGA-BH-A0AU	TCGA-BH-A0AY	TCGA-BH-A0AZ	TCGA-BH-A0B3	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0B8	TCGA-BH-A0BA	TCGA-BH-A0BC	TCGA-BH-A0BJ	TCGA-BH-A0BM	TCGA-BH-A0BQ	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BV	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DH	TCGA-BH-A0DK	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DP	TCGA-BH-A0DQ	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0DZ	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0H5	TCGA-BH-A0H7	TCGA-BH-A0H9	TCGA-BH-A0HA	TCGA-BH-A0HK	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F6	TCGA-BH-A1F8	TCGA-BH-A1FB	TCGA-BH-A1FC	TCGA-BH-A1FD	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FR	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15K	TCGA-E2-A15M	TCGA-E2-A1BC	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LH	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N6	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1ND	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8	TCGA-GI-A2C9
ACTA1	6.87203202332737	4.94720374965141	3.32415811675407	3.92259995171936	3.97637986488349	3.6937232001566	6.08214761015354	3.05392306211666	0.404001920047259	2.87464453763759	2.08091757688669	0.921083840601731	6.13338763977105	2.22646742402764	7.86204735700535	3.56453121780563	4.40175475807574	6.32978925092392	4.20006340898748	3.85373785739978	3.28671176767803	6.01705819019967	5.49057638225479	0.989482529753177	6.88445553232176	1.55700510598384	6.67836800632741	4.98927283814004	2.53239499089079	2.28403215970063	1.53436013742215	4.79050436721652	4.05388554556352	0.0	0.67034724156032	1.69631103434591	4.97018155261027	4.76824244754425	5.46714536377786	10.8738331294847	3.99756579711984	6.14628097122854	3.44725552110391	0.82351606099075	6.35056743441248	3.36296698628207	5.66485886488347	0.585981216268575	4.28752496435694	6.226405630776	2.38676442735114	4.85223284001012	3.90548559946107	0.489269562105843	7.42044220792269	2.53588173606027	0.4260802781846	3.45850814628299	0.408445573664497	1.33620364097868	6.17371919056781	0.539797817837863	1.06431931292314	3.42647719765513	3.97004374858041	7.25221160613043	4.77838421427085	4.50608338419312	3.90546472470031	3.09117555640724	1.51696436005891	1.75234814037507	1.07404843926312	3.18756842098321	2.46314784168406	9.64597409808444	7.67631421962088	4.72935400835381	1.84625874174408	8.59719495514471	4.92664973383363	3.49771619426699	1.57165995615091	3.7529021411576	6.0478284733685	1.46007519946493	5.45440335305138	2.37445969390497	0.901349364625544	4.25481893696694	9.72058865063459	4.3255287887887	1.62153347421645	6.40999679764818	2.11988298627147	1.2819752026657	3.22592242673823	3.19157855363549	3.4085113576486	3.39211057941163	0.972662296273322	5.82535684288505	2.19346290357405	1.99154018728007	7.04381563130321	6.33751885483495	1.63684475546054	4.98506460962139	9.80721438619141	4.11469215116256	2.24735601723636	5.50190265196291
MYL2	0.415445554815989	0.0	0.0	0.0	0.0	0.0	0.352780891371417	0.0	0.719267919926053	1.8211835216668	0.442504725675319	0.532883604972603	0.0	0.0	0.769003560050414	1.81856283366085	0.0	0.0	1.34759179885145	0.0	1.49811379746883	3.80734076197296	0.910114377849438	0.0	0.0	0.0	0.0	0.916373011688805	0.0	0.516045522749111	0.0	0.0	1.08060939602664	0.898650145316729	0.91619845576536	0.0	2.26098138317176	0.489439696422702	0.489656784273199	9.39275247641951	0.0	3.63778295858682	1.33583573781078	0.82351606099075	0.0	1.14505152633082	0.503804815303779	0.0	0.0	0.0	0.0	0.785972712315332	0.0	0.0	0.0	0.925882290104982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.292072000160284	0.386769011625388	1.29170654996636	0.368942872325908	0.67962881736811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.518113204704317	0.0	3.84175245613338	0.990007211203405	0.0	0.0	0.0	0.470882528147925	0.877434119278193	0.0	0.0	0.850043316943534	0.0	0.0	0.0	0.0	0.0	0.0	0.538083776138263	0.0	0.0	0.566748148464463	0.0	0.350404149381191	0.0	0.0	0.0	0.0	0.0	0.0	0.407609664155675	0.0	0.0
ACTN2	0.415445554815989	1.26257484894639	0.0	0.787774663391489	0.942083944269971	0.483344426465202	1.07578815525832	1.11685680447614	5.07202007711934	1.68569759527143	1.05442126422286	1.47880286760762	1.8525332366365	5.96188381358302	4.68055789579616	0.444761129760269	5.86514218263911	1.50422187249861	2.16222337216445	1.31921414699017	3.05296009896479	4.19638279526149	1.21340254073562	1.40191557722535	8.75896906688541	0.47349032510757	4.35256970896735	0.670456303488071	6.55939314076358	0.516045522749111	6.01626710843309	7.93493704526133	0.45593974160074	0.0	0.373709573961695	1.3183308676468	3.36066920568428	0.854155465270236	1.38754936012699	8.01514197748668	1.75025771377212	4.27172187297083	3.39594381142642	1.72650152102866	0.898104500051335	5.94432727792763	1.17233034900322	1.32370645624148	0.418913941948025	4.72517501439545	1.63919311118289	1.29190347130959	1.07320076395666	0.489269562105843	7.45722282507462	8.81197960687867	0.0	3.93765700912254	3.19881883079964	0.0	1.08484200914999	0.539797817837863	1.56763929226824	6.83803707796484	6.89653929861218	2.72449998760839	2.02673672345957	3.76034029678209	8.57558907762489	1.1398346837252	3.84228884272131	2.187006638921	2.19917867347927	0.43581482733917	3.41011326367655	1.31042170281426	7.51327648095218	6.74850560343635	2.04082917935921	2.72614563954128	8.46745999856338	4.19501110299633	0.0	9.03928142611079	0.985330876858015	9.7706413117449	2.03142813308163	1.41911280702182	2.82264447053356	0.896410299837007	1.14001462286001	0.59922951446693	0.872509411503985	6.26931192270391	4.04246612420947	7.61790391185987	1.85251510896502	2.95978277688292	1.54780810678893	3.17940057699046	4.70176139970822	2.45316627368998	0.632115051574023	8.19699162185209	4.02401285377688	3.82265312162304	1.21326483199666	2.26132197685628	5.78895170698121	0.985105888927079	3.72041739509272	5.81954554085772
CKM	1.58609769546552	0.0	0.495493690510674	1.96548813248421	3.06524288244816	1.76038452101653	1.25392460198071	0.369867323059965	1.84204806489525	0.707880639600102	1.05442126422286	1.22672766320045	0.0	1.6061528679699	0.435144447426935	0.784143149847667	2.92541163192806	1.50422187249861	2.28161832660783	1.13499747126693	2.21709574158285	4.29066371421671	1.86298033703187	0.0	0.467657717748106	0.829468286735716	2.03868665320166	1.30972376093781	2.64704108983562	1.84007335223612	0.814477741592639	1.59493117746061	1.31417748912697	1.44818293266721	2.27626570124102	0.457770775436691	3.30023208765066	1.38708638838654	0.489656784273199	10.4437170159054	0.0	4.22832437493961	3.34275329005334	1.72650152102866	0.364989154176292	2.08090991789908	0.876484627555709	0.0	1.0076733295207	1.64190124006809	0.681882575705459	1.29190347130959	0.795790615197636	1.14483079425653	2.55234804720436	0.0	0.754593695096045	1.4144026755392	1.39855490377169	0.937266831274125	0.642029261382421	0.749067257466034	1.06431931292314	2.97493451521339	2.16181873871616	2.62307573915376	1.3433569666108	1.29170654996636	0.0	0.927965765463419	1.51696436005891	2.3633988048058	1.07404843926312	0.0	0.379539200342232	0.374121110996931	0.75111040578842	1.30607303866636	1.02737245681529	1.19927552813373	2.51934524212102	3.74435240030346	1.57165995615091	3.42514038360358	0.985330876858015	3.83891879498438	1.34712513405887	1.17351309401589	1.20267826490405	0.0	1.14001462286001	1.83767053444451	0.501232599209137	1.65754736776642	0.0	2.19513977287464	1.35994506563144	1.23635952756092	0.972185401722647	2.15510641500479	2.27793561127114	1.57985084478829	1.0701632230477	0.456402754415568	1.35205685880043	0.0	1.63684475546054	1.17936368327619	0.369492275989328	1.71602592238362	0.953828687777699	2.48427772171037
MYL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.825778466705129	0.0	0.790699480811243	3.52652841202814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98193075750962	0.489439696422702	0.0	7.15842068364541	0.0	4.61278705364223	2.1471632807131	0.0	0.0	1.14505152633082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21852527530578	0.0	0.0	0.0	0.408445573664497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.679741346409746	0.0	0.0	0.0	0.0	0.0	0.0	3.58470222723501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.582447633910352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYH2	0.737618427637703	0.0	0.495493690510674	0.0	0.0	0.0	0.0	0.0	0.977770755225501	1.18066072021068	0.0	0.0	0.0	1.15487523308702	0.435144447426935	1.2893260260951	0.760783835129318	0.0	2.8439017704014	0.377424401514901	1.29855626273446	4.37915945536571	0.525712441577075	0.0	0.820260675531773	0.0	0.0	0.670456303488071	0.0	0.895349327860339	0.814477741592639	0.489707554389338	0.0	0.898650145316729	0.0	0.0	3.57990340779891	1.77534539420658	0.0	7.74091687837354	1.36518488976707	4.67875093771904	1.53866069880576	0.0	0.656033073352851	2.64386596767669	1.17233034900322	0.0	1.88560433217187	0.0	0.0	1.06100313083913	0.795790615197636	0.0	0.528433695455003	0.678039856862922	0.4260802781846	0.41474260842658	0.0	0.0	0.642029261382421	0.539797817837863	0.522509841496131	0.444861602126867	0.0	0.534853465538212	0.691466263611885	1.55136039089857	0.0	0.927965765463419	0.0	0.0	0.0	0.0	0.928181559987146	0.0	0.0	1.56731858478715	0.0	0.0	0.420186478601046	2.82454074332457	3.39690184668233	0.0	0.0	0.0	0.0	0.877434119278193	0.2833046654776	2.98036575933412	0.0	0.0	0.0	0.0	0.0	0.308714243689114	1.03177489189991	0.538083776138263	0.0	1.28640121138422	0.0	0.996167956983505	0.0	0.456402754415568	0.33198408165759	0.0	0.337704240729171	0.706939825194467	1.11603223402693	1.20535797218937	1.35712376486114	0.0
ATP2A1	4.84292638772359	3.08109319418096	2.22901209197624	2.42174098153658	5.66528260202277	2.80111919371994	2.58145486456947	1.85985551133381	1.38723366377838	2.05904805953461	3.09398545452459	3.10355043983912	3.34192612441938	1.6061528679699	1.79261179567233	4.40723467934741	2.85792104411321	2.35967202935461	3.12506604726297	1.62916675395938	1.49811379746883	3.52652841202814	0.525712441577075	1.72223436511484	3.45336297423574	1.73595088429475	3.19540416195975	2.18572564824797	2.27148795533258	2.72040866049288	3.22420372733636	1.59493117746061	2.11928569177048	1.66026877106999	3.54171714443339	2.5496304809162	3.02943829759648	2.33302293864978	1.93680441172357	8.56440943225699	3.15065063603348	3.26087491373522	2.82720174985101	2.67540973243227	2.330617846446	2.81919840466989	2.11882658237498	0.585981216268575	2.82046463281433	3.07551129360571	3.5708104535768	3.42998160698673	3.58989177390147	1.93588886686578	5.51342682095089	3.44607172038269	0.754593695096045	4.78910275007144	2.85166683902295	1.9048837361695	1.42312945017187	2.58303364726515	3.07383869889668	2.31406790156804	2.76368233646	1.96969553269756	2.83787104761962	2.13063722253082	2.34453939512774	1.89059327873189	5.36945949322983	3.81041778911466	3.41567853101472	2.73168493573941	1.13999479512738	3.77919455067775	2.76679937621052	3.49936500364299	3.04751076241925	1.4480152104712	3.38769847351214	3.88809266118015	1.21098209544153	3.58005360554047	2.29843703327759	6.77121103591227	3.46417082379583	4.83913280100717	2.82264447053356	3.12982549921337	3.4101861650031	3.28579892485185	1.62153347421645	3.79997818348398	3.09251538398865	1.75967862741766	4.64523766971921	3.19157855363549	1.54780810678893	2.69350737767319	1.28903170818629	2.45316627368998	1.0701632230477	2.45021422430182	3.60026390237492	3.91869126769864	2.5875638475251	2.67248046846199	3.05260444631401	1.39639571017973	1.52306644275289	3.34924935011898
KBTBD10	2.93692447571064	6.04507590309457	4.75255877199363	5.2974415626066	3.86083474019799	4.72504730369036	6.67438409083919	4.74259339098935	2.80886140497384	4.44027744277088	3.30203441563234	4.64082292186407	3.34192612441938	4.51413827176337	3.1515579450244	5.33384692877125	4.05551212022675	4.19896193914189	4.0734013951698	4.05532922866877	5.43160699090406	5.74465760364315	4.61555347807555	5.59937197396836	4.47457535898593	3.94244894882409	3.98939743388541	4.16346581168564	2.58280711745959	4.24084411383191	4.51859211617132	2.97873353352449	4.02123404267593	2.70552956452244	3.00044830160884	4.72216373275516	4.43640797237238	4.13408935665173	4.70223168290549	8.21455149290243	3.51324822812644	5.14333097251179	5.33687765451112	4.3328017012135	3.08290416741797	4.87112323977845	4.2383848869379	2.46185611373064	5.24895814133423	5.31239142810271	3.26057450288133	5.32044483592918	4.63616878848218	5.56979435757896	3.49347856638113	3.64286078659763	6.43187884470344	3.76777952144777	3.92140353218229	3.81027847213462	3.83812315819451	6.50979189203167	6.41331561652584	3.84431789101777	4.26013505941269	4.61184919889866	5.71187870377555	3.11533022748682	7.00206682854778	4.91057770718332	4.11608773522951	6.24536211888361	5.2023096363937	4.42241030671007	5.1167405047799	5.79686537327593	5.38515892791583	5.27391059551587	5.12533399402752	3.05944177178197	3.5001692807447	6.32204505715317	2.5087032776045	6.48586237087161	3.83060330594368	2.93638118971145	5.68286072436495	4.67107616376483	5.84003375786221	6.64275080362833	3.4101861650031	5.54453626983401	5.12006114301498	3.15393497529321	5.27766336139706	4.19549009137934	4.70423504160436	4.47711458540553	5.64542587838882	4.73193892364869	4.44457216666761	3.74190065123222	4.24452499799249	5.91715783113797	4.10565071208489	4.09904113487278	6.42164870127952	2.90340110226619	2.80999188147018	5.47636361538874	3.41886853085653	3.21032625903143
NRAP	1.0341384906773	0.0	0.0	0.0	0.0	1.13352541965028	0.63592769212027	0.376321062673702	0.724847679873732	0.0	0.0	0.921083840601731	0.0	1.18632096378726	0.769003560050414	0.444761129760269	0.0	0.939834486857114	3.05974843564479	0.681748962371188	0.448801194260787	2.96522641502256	0.0	0.41697116158865	1.55629115161597	0.47349032510757	0.0	0.0	2.57934717333983	0.0	0.0	2.33737345066187	0.45593974160074	0.518144724510721	0.0	0.804828611499714	2.61371790195786	0.854155465270236	1.1455000673887	7.34687885460722	0.0	3.17204779725217	2.02010489270126	0.0	0.656033073352851	0.854122627438898	0.0	0.585981216268575	0.433301823603045	0.492137416703218	0.0	0.457302543263765	0.0	1.78685886565004	0.914353884978498	1.32525137352151	0.0	1.60179317486887	0.0	0.937266831274125	1.42312945017187	0.542097231931097	1.34031992099065	1.28962265522731	0.0	0.0	0.0	0.0	0.0	0.930295794562411	0.696583774094169	0.37418545106055	0.634747982070778	4.5053922173539	0.0	2.27751758720282	0.0	0.57614309141266	0.603268387652687	0.898527407151653	2.68095769234952	3.87894293359599	0.0	2.47674033316075	0.0	0.44808244307048	0.0	0.0	0.0	0.0	0.0	1.36193237738469	4.80529791110812	1.65754736776642	0.0	0.308714243689114	0.0	0.538083776138263	0.566530667951363	0.364929917190768	1.54839588810714	0.0	0.350404149381191	0.0	0.0	3.2906607260793	0.611161043259591	0.706939825194467	0.0	0.407609664155675	1.62449674691001	1.42433697333258
NEB	3.00146315877783	3.55181151841862	4.45283000018335	4.46367061616863	2.98358498482563	3.39940827805954	5.68393914157253	3.88096335967715	4.10076440944925	5.15062806971486	3.21045742562715	4.67655054231725	3.672517927279	4.5027362409025	3.57456161159487	3.27276064243295	5.21370406798972	3.74391452495622	3.78087408376714	2.92203574529994	3.8215400369583	5.67644668738195	2.43188296414125	2.56743994786267	4.09417075835114	3.47260315457684	4.89507768819391	2.78992926510008	4.93870344261614	4.81211868430282	4.4503925898163	3.71423489079865	2.8714295929017	4.01126933151679	7.10762875285179	3.73593548055101	4.25723023379564	3.3052408391494	3.30591249346232	8.53133119176309	2.86877890746493	6.16941196844658	3.34275329005334	3.85505334126546	1.10533465300079	7.22901275713898	4.53294543798883	3.70318528485095	3.88872420889651	2.88017704525952	5.03227935422054	3.91871588413615	4.70190773105249	3.84028410390351	5.14989931337984	4.24773923905366	3.81306803313811	5.78036780655243	3.94489637526487	1.78230685192143	3.61010259712919	4.79573104158948	5.52905515531684	4.90176758123112	3.69696018332121	7.82761815964317	4.18737013444955	4.41107748005279	3.5935478213902	4.93007426266428	3.52987347066588	3.74819700397027	4.95974475490957	3.3460588241695	4.22927362918124	3.74774507906696	3.65671677844335	6.42499144294388	3.63469359857472	5.20405204726138	3.82633981435532	7.15313351185025	3.7184600011497	4.14920553592861	2.56047352385728	5.99312375350326	5.32145177668639	8.69674513109709	5.5138484178679	4.54834067336942	3.10843590388684	4.62549412190395	4.38817009142205	3.79997818348398	3.84662846021664	4.74263032024447	3.86579832524472	4.072119422676	6.78358962779579	3.86077888218031	4.70176139970822	6.21160454691288	2.92565882698158	3.84747700383598	2.90104574058964	3.42493762860177	5.29427233436652	4.34252673458421	5.18260606583453	5.11383234586595	4.89410458558624	4.2520260009815
